order_id,order_date,region,channel,segment,units,unit_price,discount,revenue,cost
SO-100026,2025-01-01,West,Direct,Mid-Market,22,536.72,0.05,11217.45,8169.73
SO-100438,2025-01-01,Midwest,Direct,Mid-Market,6,733.62,0.0,4401.72,2670.23
SO-100670,2025-01-01,Northeast,Partner,Mid-Market,15,375.16,0.0,5627.4,3951.48
SO-101127,2025-01-01,Northeast,Direct,SMB,52,271.61,0.1,12711.35,7858.8
SO-101141,2025-01-01,West,Direct,Enterprise,1,938.76,0.0,938.76,645.38
SO-101407,2025-01-01,Midwest,Direct,SMB,25,205.74,0.15,4371.97,3628.23
SO-101434,2025-01-01,Midwest,Direct,SMB,56,98.37,0.05,5233.28,3206.4
SO-101464,2025-01-01,Northeast,Marketplace,SMB,8,182.73,0.05,1388.75,993.15
SO-101823,2025-01-01,Northeast,Direct,SMB,56,221.27,0.25,9293.34,8061.13
SO-101980,2025-01-01,Midwest,Partner,Enterprise,10,2004.07,0.1,18036.63,13345.76
SO-100055,2025-01-02,South,Direct,Mid-Market,12,932.75,0.05,10633.35,6621.29
SO-100072,2025-01-02,Midwest,Direct,SMB,44,159.94,0.0,7037.36,4038.88
SO-100485,2025-01-02,Northeast,Marketplace,SMB,43,105.06,0.0,4517.58,2648.97
SO-100963,2025-01-02,Midwest,Direct,SMB,44,107.16,0.0,4715.04,2925.51
SO-101512,2025-01-02,Midwest,Direct,Mid-Market,9,613.1,0.0,5517.9,3746.94
SO-101678,2025-01-02,South,Direct,Enterprise,3,1033.92,0.1,2791.58,1733.47
SO-101927,2025-01-02,South,Direct,Mid-Market,19,697.98,0.0,13261.62,7593.12
SO-102063,2025-01-02,West,Direct,Mid-Market,21,499.69,0.0,10493.49,6279.9
SO-102286,2025-01-02,Northeast,Direct,SMB,35,256.32,0.0,8971.2,5321.18
SO-100057,2025-01-03,West,Partner,Enterprise,2,1144.57,0.05,2174.68,1412.35
SO-100386,2025-01-03,South,Direct,Mid-Market,30,477.33,0.0,14319.9,9361.54
SO-100398,2025-01-03,Midwest,Direct,Mid-Market,18,903.56,0.0,16264.08,10634.34
SO-100460,2025-01-03,Midwest,Partner,Mid-Market,21,330.3,0.0,6936.3,4772.91
SO-100630,2025-01-03,Midwest,Partner,SMB,10,204.77,0.05,1945.32,1265.06
SO-100646,2025-01-03,Northeast,Direct,SMB,24,150.6,0.05,3433.68,2338.08
SO-100678,2025-01-03,Northeast,Direct,Mid-Market,28,545.17,0.1,13738.28,10562.01
SO-100732,2025-01-03,Northeast,Partner,SMB,47,118.01,0.0,5546.47,3945.34
SO-100950,2025-01-03,South,Marketplace,SMB,55,73.46,0.1,3636.27,2778.11
SO-100981,2025-01-03,West,Partner,Enterprise,4,2439.43,0.0,9757.72,5915.55
SO-101388,2025-01-03,Midwest,Partner,Mid-Market,30,485.44,0.0,14563.2,8204.95
SO-102020,2025-01-03,West,Partner,Mid-Market,28,439.46,0.05,11689.64,7644.83
SO-102094,2025-01-03,West,Direct,Mid-Market,16,819.38,0.05,12454.58,7477.38
SO-102283,2025-01-03,Northeast,Direct,SMB,3,270.11,0.1,729.3,511.4
SO-102369,2025-01-03,West,Marketplace,SMB,14,215.93,0.0,3023.02,1683.45
SO-100116,2025-01-04,Midwest,Direct,Enterprise,10,2106.5,0.0,21065.0,11719.88
SO-101002,2025-01-04,West,Direct,Mid-Market,8,706.67,0.1,5088.02,3606.43
SO-101087,2025-01-04,West,Marketplace,Mid-Market,17,671.75,0.1,10277.77,8212.39
SO-102034,2025-01-04,Northeast,Marketplace,SMB,29,110.1,0.05,3033.25,2095.58
SO-100749,2025-01-05,South,Direct,Enterprise,12,1083.84,0.05,12355.78,8878.68
SO-100914,2025-01-05,West,Partner,Mid-Market,24,841.74,0.0,20201.76,13057.8
SO-101448,2025-01-05,Midwest,Marketplace,Enterprise,1,1134.9,0.0,1134.9,650.36
SO-102109,2025-01-05,Midwest,Partner,SMB,32,236.3,0.05,7183.52,4269.05
SO-102161,2025-01-05,Midwest,Partner,Enterprise,6,2199.13,0.1,11875.3,8221.91
SO-100326,2025-01-06,Northeast,Direct,Mid-Market,26,625.88,0.1,14645.59,9867.76
SO-100349,2025-01-06,Midwest,Partner,SMB,8,106.02,0.05,805.75,542.14
SO-100615,2025-01-06,South,Direct,SMB,10,199.24,0.0,1992.4,1377.51
SO-101449,2025-01-06,West,Marketplace,Mid-Market,30,874.55,0.05,24924.67,18696.41
SO-101608,2025-01-06,Northeast,Marketplace,SMB,18,92.49,0.0,1664.82,930.98
SO-101619,2025-01-06,Northeast,Partner,SMB,41,177.89,0.05,6928.82,5160.5
SO-101774,2025-01-06,South,Direct,Enterprise,8,1743.63,0.05,13251.59,8253.78
SO-101912,2025-01-06,West,Marketplace,Mid-Market,29,392.11,0.0,11371.19,6616.6
SO-102093,2025-01-06,Northeast,Marketplace,SMB,39,75.99,0.15,2519.07,2127.22
